date,trips,avg_dist,avg_fare,avg_dur,revenue
2022-12-09,126622,3.48,15.14,17.9,2824973.0
2022-12-10,120637,3.26,14.53,17.0,2538630.0
2022-12-11,100267,3.91,15.47,16.0,2251970.0
2022-12-12,106268,3.59,14.92,16.6,2343779.0
2022-12-13,116727,3.32,14.66,17.3,2531505.0
2022-12-14,121175,3.3,14.7,17.5,2634956.0
2022-12-15,122455,3.34,15.07,18.6,2719755.0
2022-12-16,117548,3.38,14.79,17.6,2572047.0
2022-12-17,116299,3.33,14.57,16.8,2461633.0
2022-12-18,93657,3.88,15.31,15.5,2080036.0
2022-12-19,105417,3.48,18.55,15.6,2881101.0
2022-12-20,110000,3.3,18.66,16.6,3020805.0
2022-12-21,107692,3.4,19.1,17.1,3016641.0
2022-12-22,97520,3.45,19.16,17.2,2727875.0
2022-12-23,89549,3.34,18.06,14.8,2377905.0
2022-12-24,71168,3.29,17.37,12.7,1767636.0
2022-12-25,47187,4.09,20.26,14.1,1341873.0
2022-12-26,64394,4.11,21.0,15.8,1906889.0
2022-12-27,82881,3.93,20.77,16.8,2478097.0
2022-12-28,85491,3.79,20.51,17.1,2525185.0
2022-12-29,89912,3.8,20.47,17.1,2652476.0
2022-12-30,88531,3.87,20.66,17.0,2641249.0
2022-12-31,79988,3.6,18.48,13.5,2119787.0
2023-01-01,71029,4.3,21.4,15.1,2152310.0
2023-01-02,63162,4.54,21.7,14.6,1948604.0
2023-01-03,82300,3.86,19.79,15.2,2383373.0
2023-01-04,91524,3.54,18.81,14.9,2542099.0
2023-01-05,97168,3.37,18.2,14.6,2626061.0
2023-01-06,98762,3.22,17.66,14.4,2607401.0
2023-01-07,100941,3.24,17.47,13.5,2565518.0
2023-01-08,81504,3.96,19.55,13.5,2299985.0
2023-01-09,81955,3.57,18.61,14.4,2269793.0
2023-01-10,96167,3.17,17.52,14.2,2531737.0
2023-01-11,102245,3.11,17.3,14.1,2667088.0
2023-01-12,106573,3.28,18.25,15.4,2913965.0
2023-01-13,106202,3.43,18.56,15.2,2959083.0
2023-01-14,108306,3.22,17.75,14.1,2808749.0
